year,nuts2,nuts3,objective_inequality_index,income_gap,access_to_services,poverty_risk_rate,perceived_injustice,perceived_unfairness,life_satisfaction,economic_optimism,civic_participation,voter_turnout,protest_activity,associational_membership,democratic_trust,institutional_trust,political_efficacy,corruption_perception,media_access_index,local_media_presence,digital_literacy,internet_coverage
2023,DE21,DE219,12.9,,,12.9,90.8,,9.2,,39.2,48.1,27.5,42.1,31.8,29.1,,65.5,53.8,,53.8,
2024,DE21,DE219,34.9,18.7,30.1,16.0,38.4,17.1,8.5,93.3,39.9,49.3,29.9,40.5,26.9,28.0,15.3,62.5,42.0,75.9,50.1,0.0
2025,DE21,DE219,36.1,16.4,26.4,18.3,53.2,13.9,7.5,,43.7,47.8,,39.6,31.1,25.5,,63.4,40.4,78.1,,2.7
2026,DE21,DE219,37.3,17.8,26.8,20.8,39.5,11.4,5.7,87.3,37.6,48.6,26.6,,30.7,26.4,,65.1,,,,
2016,DE21,DE21A,49.4,,34.4,33.2,53.7,42.8,33.7,48.1,74.9,,84.1,65.7,64.8,,41.9,12.3,45.2,79.1,14.9,41.6
2017,DE21,DE21A,60.4,85.5,37.0,32.7,55.6,46.4,30.4,49.3,77.3,82.0,82.4,67.4,71.6,83.5,43.8,12.6,41.1,,,41.1
2018,DE21,DE21A,61.2,85.3,35.5,33.7,49.5,46.2,,47.2,78.0,82.8,86.1,65.1,69.2,82.5,40.4,15.2,60.2,76.6,,43.8
2019,DE21,DE21A,62.5,88.0,32.9,32.4,57.0,49.0,33.7,44.4,76.1,80.0,82.2,66.0,68.0,78.9,38.5,13.5,42.6,75.7,11.3,40.9
2020,DE21,DE21A,62.1,89.8,33.3,29.7,56.9,45.6,33.0,41.9,75.5,79.7,79.7,67.2,65.0,75.3,35.7,15.9,29.1,,14.3,44.0
2021,DE21,DE21A,,,,,58.0,46.1,33.2,38.8,78.7,81.3,76.1,,79.8,74.5,,14.8,11.3,,11.3,
2022,DE21,DE21A,62.9,93.8,30.2,25.0,65.1,,30.8,39.0,75.2,83.7,75.5,66.5,61.9,72.1,31.7,18.2,28.6,,11.7,45.5
2023,DE21,DE21A,62.8,93.1,29.7,25.1,54.0,45.6,,37.5,70.6,,75.8,65.4,62.0,73.1,33.9,20.9,46.5,79.1,13.5,46.8
2024,DE21,DE21A,27.3,,,27.3,58.3,46.4,29.7,,62.9,,,62.9,50.1,69.1,31.1,,47.4,,,47.4
2025,DE21,DE21A,71.2,,28.8,,54.2,44.2,,35.8,66.0,,72.5,59.6,53.6,,31.7,24.5,48.7,81.4,13.7,51.1
2026,DE21,DE21A,65.1,96.7,29.2,27.9,56.1,47.0,34.8,,66.2,,74.9,57.5,76.6,,,23.4,48.4,81.6,15.2,
2016,DE21,DE21B,57.2,37.3,38.6,73.0,75.8,,23.3,25.1,84.6,75.5,99.1,79.3,44.6,45.8,44.0,56.1,45.4,68.1,22.7,
2017,DE21,DE21B,56.3,40.6,,72.1,51.5,7.8,26.3,27.1,85.2,74.4,96.1,,46.1,48.7,47.6,57.9,45.1,,24.7,65.4
2018,DE21,DE21B,57.6,42.2,44.3,75.0,52.5,8.8,27.4,23.8,85.0,76.1,99.4,79.5,44.3,47.4,,58.7,51.9,68.3,23.6,63.9
2019,DE21,DE21B,56.6,39.7,46.2,76.3,53.0,8.9,29.5,20.5,88.5,,97.2,79.8,46.0,,48.6,56.6,47.4,69.0,25.8,
2020,DE21,DE21B,65.2,,47.2,77.6,76.5,,30.3,16.8,75.4,74.5,,76.3,46.7,48.4,45.0,,43.9,65.8,22.0,
2021,DE21,DE21B,57.8,41.6,,73.9,54.2,5.5,28.0,14.9,84.2,72.4,95.9,,46.6,48.9,46.1,55.1,47.8,63.6,20.0,59.8
2022,DE21,DE21B,56.0,41.1,46.5,73.3,4.9,4.9,,,83.0,74.2,97.8,77.1,48.4,,48.2,51.4,40.4,,21.8,59.0
2023,DE21,DE21B,64.2,,48.4,76.8,36.1,1.1,28.9,,82.6,72.6,100.0,75.3,49.3,,49.3,,50.1,70.0,22.1,58.1
2024,DE21,DE21B,48.4,41.1,44.4,,37.5,3.2,28.2,,100.0,,100.0,,49.6,49.3,47.0,47.5,37.3,,20.3,54.3
2025,DE21,DE21B,56.5,42.4,,70.6,51.1,0.8,32.2,15.2,81.3,75.4,97.5,71.1,48.1,48.3,47.9,,48.2,70.7,22.4,51.6
2026,DE21,DE21B,56.3,42.6,46.1,72.3,33.9,0.0,32.2,,86.8,77.2,96.4,,48.5,48.2,46.8,49.6,48.8,69.1,24.1,53.2
2016,DE21,DE21C,56.6,48.9,38.8,59.6,36.6,46.6,73.4,,62.7,64.8,60.6,,85.8,85.7,,14.0,73.0,83.1,48.8,87.0
2017,DE21,DE21C,55.2,47.6,37.1,,40.6,47.4,70.6,55.0,49.5,68.6,,30.4,48.4,86.8,10.1,,73.4,82.2,50.1,87.9
2018,DE21,DE21C,57.6,49.2,34.8,58.3,40.9,44.0,69.6,51.8,45.4,,59.7,31.0,47.9,87.7,8.0,,86.2,86.2,,86.2
2019,DE21,DE21C,59.0,53.2,35.6,59.3,42.9,47.4,70.3,48.3,53.7,66.8,60.0,34.4,45.1,,6.7,16.4,65.3,82.5,48.1,
2020,DE21,DE21C,59.8,53.6,34.1,,49.6,49.6,,,50.3,63.7,,36.9,61.2,90.8,6.4,13.7,82.3,81.8,,82.8
2021,DE21,DE21C,58.6,,,58.6,42.9,,64.6,49.6,53.1,64.8,58.5,35.9,45.5,,5.8,14.8,72.3,84.5,48.5,83.9
2022,DE21,DE21C,64.1,58.7,30.5,,48.7,53.7,61.9,45.7,52.2,61.6,56.0,39.1,59.3,86.5,4.6,13.1,71.4,84.0,48.9,81.4
2023,DE21,DE21C,58.9,58.9,,,46.8,,63.7,42.6,51.8,64.9,52.8,37.6,59.5,88.7,2.9,13.0,62.2,,45.1,79.3
2024,DE21,DE21C,61.7,,33.9,57.3,58.2,,,41.8,50.9,67.4,49.5,35.7,60.1,90.5,5.8,15.9,67.1,79.8,43.5,78.0
2025,DE21,DE21C,63.8,,30.7,58.4,49.9,61.6,61.8,,52.2,71.1,51.2,34.4,45.5,,3.6,12.6,66.7,81.6,40.1,78.5
2026,DE21,DE21C,58.8,51.8,34.3,,48.4,,60.1,43.1,50.9,72.5,48.9,31.4,59.8,90.6,2.2,13.5,60.0,,42.9,77.2
2016,DE21,DE21D,41.1,26.8,53.9,50.4,61.6,90.8,66.8,39.1,65.5,43.3,89.7,63.4,31.7,2.2,26.9,34.0,69.0,88.7,58.1,60.2
2017,DE21,DE21D,41.1,27.4,54.6,50.6,63.9,94.4,66.7,,46.4,46.4,,,33.2,5.5,30.0,36.0,68.6,84.9,57.6,63.2
2018,DE21,DE21D,40.9,25.8,54.2,51.1,77.5,94.6,,39.6,90.1,,90.1,,34.3,4.9,31.6,33.7,67.2,85.2,56.3,60.2
2019,DE21,DE21D,32.7,23.1,57.7,,59.8,90.6,72.0,39.3,65.5,40.6,93.1,62.7,31.7,4.2,28.5,37.5,68.5,81.9,59.9,63.8
2020,DE21,DE21D,32.9,23.5,57.8,,44.3,,75.2,36.2,64.8,38.0,91.2,65.1,31.9,3.0,31.5,38.7,69.4,80.0,58.8,
2021,DE21,DE21D,47.7,,58.7,54.1,60.1,88.5,74.2,34.1,66.2,39.4,92.9,,5.5,5.5,,,61.7,,58.1,65.2
2022,DE21,DE21D,32.4,23.0,58.3,,25.5,,74.5,,79.8,,91.5,68.1,32.2,8.9,26.3,38.7,67.9,84.6,56.2,62.8
2023,DE21,DE21D,47.4,,57.0,51.7,82.8,94.7,,29.1,69.2,46.5,90.7,70.5,32.9,11.4,24.3,37.0,56.5,,53.1,59.9
2024,DE21,DE21D,38.2,21.4,,55.1,58.3,91.1,74.5,,80.7,,89.1,72.2,31.9,7.9,20.9,33.1,63.9,78.2,53.5,60.0
2025,DE21,DE21D,37.4,21.8,61.0,51.5,45.2,,77.6,31.9,69.7,46.4,89.7,73.1,31.3,6.1,19.1,31.3,57.1,,55.2,59.0
2026,DE21,DE21D,33.2,25.0,58.5,,58.8,87.4,75.0,35.9,67.8,44.1,91.6,,38.4,4.8,,28.0,65.4,77.2,58.8,60.3
2016,DE21,DE21E,29.2,,,29.2,21.5,16.9,80.1,72.3,17.9,20.8,,15.0,36.1,45.3,18.1,55.1,88.0,84.4,,91.6
2017,DE21,DE21E,38.5,60.4,73.2,28.4,22.9,,80.3,73.9,20.7,22.7,,18.7,39.3,48.2,21.5,51.8,63.8,85.6,42.1,
2018,DE21,DE21E,45.3,60.9,70.2,,21.1,18.7,79.2,76.3,26.9,24.2,37.5,18.9,40.1,47.8,24.8,52.4,74.0,88.6,38.3,95.0
2019,DE21,DE21E,44.7,57.5,68.1,,21.8,,78.2,,26.9,27.9,35.6,17.3,39.5,45.0,24.3,50.7,73.6,84.8,40.1,96.0
2020,DE21,DE21E,45.0,60.6,,29.3,20.9,16.2,77.6,75.9,25.0,27.0,33.8,14.2,41.3,45.2,26.1,47.3,61.5,82.7,40.2,
2021,DE21,DE21E,62.3,62.3,,,17.2,12.9,,78.6,27.3,23.8,30.8,,40.7,45.3,23.2,46.5,87.9,79.1,,96.8
2022,DE21,DE21E,58.4,58.4,,,18.3,15.1,83.9,76.3,27.1,26.2,28.0,,39.7,42.8,24.5,48.2,70.3,75.8,39.7,95.5
2023,DE21,DE21E,38.6,57.6,75.0,33.1,18.1,18.3,86.7,77.4,22.1,27.5,,16.6,46.8,42.4,,48.7,71.1,77.0,42.2,94.2
2024,DE21,DE21E,40.2,56.5,72.3,36.5,18.1,,84.9,78.8,24.0,26.2,27.9,17.8,36.4,,20.8,48.0,71.4,74.7,45.0,94.6
2025,DE21,DE21E,44.4,55.5,,33.3,15.2,15.6,88.8,81.3,22.0,,24.6,19.3,45.5,40.0,,49.0,70.3,74.9,44.8,91.2
2026,DE21,DE21E,39.7,58.7,75.8,36.1,15.0,15.0,,,23.5,24.2,22.9,,34.6,42.6,26.7,,68.7,72.0,40.9,93.2
2016,DE21,DE21F,29.4,19.5,,39.4,77.0,87.6,30.8,25.8,39.9,20.4,42.9,56.3,33.5,25.3,,58.4,17.1,,17.1,
2017,DE21,DE21F,41.1,18.0,33.9,39.3,73.1,,27.6,26.3,42.4,,42.4,,35.5,,26.9,55.9,59.9,81.0,,38.7
2018,DE21,DE21F,52.6,,36.0,41.3,88.5,88.5,,,40.7,24.2,41.6,56.3,32.5,29.3,27.5,59.3,40.9,,,40.9
2019,DE21,DE21F,38.5,16.0,38.9,,76.2,86.6,31.8,26.2,41.2,24.0,44.9,54.8,34.9,26.8,,57.0,12.9,,12.9,
2020,DE21,DE21F,39.9,18.7,39.0,,76.1,84.1,31.7,24.1,40.2,20.2,44.6,55.9,31.6,26.0,27.6,58.9,44.6,82.1,10.0,41.6
2021,DE21,DE21F,42.2,19.6,35.3,,74.5,80.5,33.1,24.0,49.5,,46.8,52.1,41.4,,,58.6,44.9,82.3,11.4,41.0
2022,DE21,DE21F,39.7,22.0,38.4,35.5,73.8,80.1,36.5,22.3,20.4,20.4,,,26.1,25.4,26.9,,7.6,,7.6,
2023,DE21,DE21F,39.7,24.2,40.9,35.7,74.3,78.4,36.7,18.8,48.5,,44.5,52.5,29.7,,29.7,,45.1,79.1,7.6,48.7
2024,DE21,DE21F,39.3,,,39.3,73.5,75.8,34.3,20.9,38.6,20.2,42.8,52.7,31.4,24.7,26.2,56.6,27.6,,9.4,45.8
2025,DE21,DE21F,38.4,,,38.4,74.0,74.2,33.8,18.5,36.3,23.0,,49.6,33.6,,27.4,60.1,66.7,84.2,,49.1
2026,DE21,DE21F,41.1,18.8,36.5,,73.2,72.9,36.8,16.6,35.6,23.0,36.4,47.4,29.7,26.2,25.9,63.0,47.1,80.6,14.4,46.4
2016,DE21,DE21G,82.3,96.7,,68.0,86.8,87.0,25.7,0.8,99.6,,99.6,,39.8,76.3,,96.8,31.0,69.6,10.0,13.4
2017,DE21,DE21G,82.2,99.9,,64.6,99.7,,,0.3,88.0,99.0,100.0,64.9,40.6,78.9,,97.7,42.9,73.2,12.6,
2018,DE21,DE21G,80.0,100.0,40.0,,84.7,82.5,28.5,0.0,80.8,97.2,,64.3,53.1,76.5,76.5,93.8,34.2,75.7,15.6,11.2
2019,DE21,DE21G,74.5,98.7,39.9,64.6,85.8,,28.5,0.0,99.8,99.6,100.0,,53.4,76.6,76.1,92.4,34.1,77.9,12.7,11.6
2020,DE21,DE21G,75.4,98.5,36.7,64.4,76.7,83.6,30.3,,86.3,97.0,100.0,61.8,54.7,75.8,79.1,90.7,46.7,81.7,11.7,
2021,DE21,DE21G,83.0,100.0,34.0,,84.4,83.5,26.5,3.7,99.6,99.6,,,40.6,74.1,,92.9,36.8,81.5,10.4,18.6
2022,DE21,DE21G,78.7,100.0,35.2,71.4,78.0,81.3,25.3,,99.7,99.3,100.0,,10.6,,,89.4,15.8,,12.5,19.1
2023,DE21,DE21G,77.2,100.0,39.2,70.8,83.1,78.5,25.1,4.2,79.3,99.9,,58.7,53.1,72.4,73.6,86.7,17.0,,14.8,19.1
2024,DE21,DE21G,77.4,100.0,40.5,72.8,82.4,76.7,22.5,7.0,85.7,100.0,95.7,61.5,70.1,69.3,70.9,,47.2,83.4,11.0,
2025,DE21,DE21G,78.2,100.0,43.5,,84.8,,21.2,9.1,95.8,98.6,93.0,,53.1,71.3,73.1,85.2,51.4,80.1,,22.7
2026,DE21,DE21G,78.6,99.4,40.4,76.7,82.1,77.1,20.1,10.6,85.6,99.2,96.2,61.3,42.2,68.4,,84.1,35.5,78.0,3.9,24.6
2016,DE21,DE21H,83.2,,25.1,91.4,46.7,88.1,,94.7,20.7,27.2,18.2,16.6,33.2,52.1,14.4,,88.3,88.3,,
2017,DE21,DE21H,86.9,93.7,21.2,88.1,53.7,87.7,31.6,95.0,20.8,,21.4,20.1,22.9,49.9,16.8,98.1,71.3,85.1,96.0,32.9
2018,DE21,DE21H,90.3,90.3,,,55.2,86.0,27.7,92.8,20.8,26.7,19.3,16.3,36.4,53.1,19.6,,72.4,84.9,97.3,35.1
2019,DE21,DE21H,84.6,86.7,27.6,94.6,54.2,87.0,31.1,93.2,25.9,28.6,23.1,,23.0,50.0,19.0,100.0,68.7,,99.5,37.8
2020,DE21,DE21H,85.4,87.4,28.0,96.7,51.7,86.4,34.7,96.6,18.2,,19.8,16.7,34.2,50.6,17.8,,63.1,85.6,,40.7
2021,DE21,DE21H,80.8,89.1,27.4,,45.5,88.8,,97.8,21.7,31.1,16.5,17.5,2.3,,,97.7,74.6,89.1,96.4,38.3
2022,DE21,DE21H,91.8,,,91.8,60.3,,39.7,,17.6,,14.0,21.2,20.3,,20.3,,75.5,92.8,96.2,37.4
2023,DE21,DE21H,86.3,,22.5,95.2,28.5,,43.0,100.0,25.2,36.9,17.2,21.5,25.1,52.2,22.5,99.5,65.4,96.6,,34.3
2024,DE21,DE21H,94.2,90.3,,98.0,57.1,,42.9,,23.3,35.4,14.9,19.7,25.2,53.5,20.2,98.2,74.0,97.3,91.1,33.7
2025,DE21,DE21H,86.4,88.4,25.6,96.5,48.5,85.7,40.3,100.0,22.1,32.8,12.0,21.6,25.2,56.5,16.8,97.7,64.0,,93.4,34.5
2026,DE21,DE21H,87.0,,25.1,99.1,29.4,,42.7,98.4,25.6,35.5,15.6,,24.8,56.3,17.8,99.8,65.0,,95.4,34.5
2016,DE21,DE21I,58.2,33.4,,83.0,33.4,23.6,90.8,32.7,0.5,,,0.5,49.1,81.0,,82.7,30.2,34.7,25.7,
2017,DE21,DE21I,59.3,35.3,38.6,81.1,5.9,,94.1,,14.6,29.1,,0.0,59.0,,100.0,82.1,26.8,,,26.8
2018,DE21,DE21I,62.1,,37.9,,43.1,22.7,,36.5,24.4,29.6,42.3,1.4,59.3,,98.4,79.8,28.5,32.5,28.9,24.2
2019,DE21,DE21I,47.5,31.6,36.5,,10.3,20.6,100.0,,15.6,30.1,,1.1,69.3,88.4,95.6,76.0,24.9,,25.1,24.7
2020,DE21,DE21I,52.3,27.7,,76.9,1.9,,98.1,,25.1,29.6,41.1,4.5,70.8,88.1,96.9,72.7,36.6,36.6,,
2021,DE21,DE21I,56.4,29.1,36.3,76.5,12.9,20.1,94.3,,23.8,30.6,37.4,3.4,72.4,88.9,97.6,69.2,29.9,34.6,26.0,29.0
2022,DE21,DE21I,51.8,29.3,,74.3,31.5,16.9,97.3,25.1,24.9,28.4,40.9,5.4,92.8,92.8,,,31.2,34.8,27.1,31.8
2023,DE21,DE21I,55.0,27.4,35.4,73.0,32.4,19.9,97.7,25.0,24.4,24.4,,,73.9,95.9,96.0,70.3,29.8,32.6,25.3,31.6
2024,DE21,DE21I,54.8,24.5,32.5,72.3,33.3,19.9,99.0,21.1,34.5,24.7,44.4,,64.8,98.5,,69.0,31.6,29.5,,33.8
2025,DE21,DE21I,74.6,,,74.6,32.4,20.9,99.9,23.9,28.3,28.4,47.5,9.1,,,,,33.2,31.2,,35.3
2026,DE21,DE21I,51.0,24.1,,77.8,29.8,17.0,100.0,27.6,29.5,27.3,49.4,11.9,61.1,,97.0,74.8,29.6,33.1,22.8,33.0
2016,DE21,DE21J,74.0,,10.4,58.5,8.4,14.5,,97.7,51.0,,77.9,24.0,66.0,73.1,62.0,37.0,41.3,35.5,6.3,82.0
2017,DE21,DE21J,74.8,,7.7,57.3,16.5,13.8,65.6,98.6,53.5,,79.8,27.2,67.9,74.2,63.6,34.1,41.0,32.5,5.0,85.4
2018,DE21,DE21J,72.0,84.9,,59.0,26.0,13.6,61.6,,51.8,,79.6,24.1,69.3,74.3,66.9,33.4,59.5,33.0,,86.0
2019,DE21,DE21J,85.3,82.2,11.5,,6.8,10.1,,96.4,87.4,92.1,82.7,,69.3,72.7,67.5,32.3,39.3,29.6,3.2,85.1
2020,DE21,DE21J,76.8,79.9,13.8,64.4,16.9,6.4,62.3,93.4,,,,,71.6,,,28.4,0.1,,0.1,
2021,DE21,DE21J,83.6,82.8,15.6,,16.5,3.6,61.9,92.2,58.3,92.8,,23.8,63.1,,63.1,,38.4,27.5,2.8,84.8
2022,DE21,DE21J,61.1,,,61.1,5.6,5.4,,94.3,64.6,91.7,80.2,21.8,65.8,,62.2,30.7,39.8,24.5,6.5,88.3
2023,DE21,DE21J,71.6,82.9,,60.3,19.8,6.3,54.1,92.8,58.5,92.3,,24.6,63.8,,60.2,32.6,55.8,22.6,,89.0
2024,DE21,DE21J,75.8,79.5,16.4,64.2,17.6,7.3,57.9,96.5,62.2,90.3,75.5,20.9,71.0,,,29.0,57.3,25.6,,89.1
2025,DE21,DE21J,73.2,78.7,,67.6,16.0,3.8,60.2,95.7,61.1,90.3,72.8,20.1,65.2,67.1,59.1,30.5,88.6,,,88.6
2026,DE21,DE21J,74.5,,16.5,65.4,16.7,3.3,58.1,95.0,61.9,91.8,76.6,17.2,66.3,69.8,61.3,32.2,3.5,,3.5,
2016,DE21,DE21K,62.3,75.1,70.0,81.9,36.1,28.5,76.7,43.4,37.2,57.7,16.7,,46.2,51.0,41.5,,58.5,8.2,70.7,96.6
2017,DE21,DE21K,63.0,78.8,71.9,82.0,34.8,25.2,78.7,42.2,43.8,,16.5,71.0,63.3,51.4,41.7,3.1,84.8,,72.0,97.6
2018,DE21,DE21K,53.6,82.6,75.3,,35.8,26.5,76.9,42.2,49.2,58.0,17.3,72.4,62.3,54.5,39.1,6.6,54.1,8.7,,99.6
2019,DE21,DE21K,63.8,83.5,75.0,83.0,38.6,28.5,74.5,38.3,41.9,,13.7,70.0,68.7,,41.7,4.4,11.0,11.0,,
2020,DE21,DE21K,64.5,84.0,71.7,81.1,46.3,31.5,,38.9,40.5,,11.6,69.4,46.0,50.5,41.5,,62.9,14.3,74.3,100.0
2021,DE21,DE21K,65.1,85.7,70.2,79.9,45.4,32.6,,41.9,44.1,56.1,8.9,67.3,61.8,53.6,39.6,7.9,61.3,10.8,73.1,100.0
2022,DE21,DE21K,65.0,87.9,73.0,80.2,31.0,31.0,,,45.4,57.4,12.0,66.7,61.7,51.0,38.4,4.2,59.7,9.3,71.7,98.1
2023,DE21,DE21K,57.0,87.6,73.6,,27.3,27.3,72.7,,43.9,58.6,10.2,63.0,44.9,48.0,41.8,,59.6,7.8,74.7,96.3
2024,DE21,DE21K,64.1,85.5,76.2,83.1,37.1,23.7,70.1,42.2,44.9,61.5,8.0,65.2,70.2,48.1,,7.6,61.5,8.9,76.7,99.0
2025,DE21,DE21K,64.2,87.5,74.2,79.4,44.0,,70.6,41.5,65.0,61.8,,68.2,60.1,45.1,43.0,7.7,40.6,5.2,76.0,
2026,DE21,DE21K,64.2,85.2,73.3,80.6,44.1,,70.7,41.0,44.3,58.3,7.5,67.0,69.2,43.3,,5.0,51.7,7.0,,96.4
2016,DE21,DE21L,65.7,32.4,33.9,98.7,49.2,73.5,65.2,60.8,67.5,97.4,,37.6,20.1,,25.8,85.6,31.6,,43.6,19.5
2017,DE21,DE21L,49.2,31.9,33.4,,53.6,74.9,67.8,,69.6,100.0,67.9,41.0,20.4,16.9,23.8,,28.1,23.4,40.1,20.7
2018,DE21,DE21L,66.5,31.9,32.4,100.0,52.5,75.0,64.3,53.1,67.4,97.9,65.8,38.5,20.7,17.0,24.4,,29.7,,36.8,22.6
2019,DE21,DE21L,65.7,30.8,30.7,97.0,53.8,73.9,60.9,51.7,68.8,98.1,,39.4,17.8,13.5,23.1,83.2,22.0,22.9,,21.2
2020,DE21,DE21L,65.3,29.4,29.6,96.1,52.3,71.2,59.2,55.2,65.9,98.4,61.7,37.5,17.4,10.6,26.3,84.6,27.4,22.4,37.9,22.0
2021,DE21,DE21L,66.5,32.0,31.7,99.2,58.2,73.1,,56.6,65.8,96.2,65.2,35.9,12.8,8.1,,82.5,32.0,,40.3,23.8
2022,DE21,DE21L,66.9,32.3,31.7,100.0,38.1,,61.9,,66.2,95.0,65.2,38.3,31.4,,31.4,,,,,
2023,DE21,DE21L,67.2,33.9,28.4,96.0,49.2,67.6,63.8,56.3,78.7,95.4,62.0,,20.7,8.1,35.3,81.3,33.0,,41.3,24.6
2024,DE21,DE21L,68.1,33.2,27.2,98.3,55.7,68.2,,56.8,67.4,98.7,65.0,38.4,24.0,9.8,38.3,,30.0,21.7,40.6,27.6
2025,DE21,DE21L,69.8,34.7,25.2,100.0,49.9,70.8,60.8,60.2,67.3,100.0,61.8,40.1,22.6,10.2,37.8,80.3,35.4,,41.4,29.4
2026,DE21,DE21L,35.1,35.1,,,49.0,72.2,64.2,61.0,71.0,100.0,,42.0,26.9,13.3,40.5,,31.0,18.6,43.4,
2016,DE21,DE21M,61.9,89.4,11.8,8.0,48.4,82.3,70.9,66.2,76.6,76.6,,,13.0,13.0,,,37.0,,19.3,54.7
2017,DE21,DE21M,88.3,91.0,14.3,,48.0,82.9,72.6,66.4,71.0,,49.7,92.2,36.1,11.3,,39.1,40.6,49.7,20.2,51.9
2018,DE21,DE21M,62.0,94.0,16.2,8.1,35.3,,,64.7,84.2,73.7,,94.6,34.7,10.3,,40.9,22.0,,22.0,
2019,DE21,DE21M,60.8,94.5,18.2,6.1,29.9,,70.1,,73.3,75.2,51.4,93.3,27.2,8.7,16.2,43.3,33.6,47.5,19.7,
2020,DE21,DE21M,87.3,93.0,18.3,,30.0,,72.8,67.2,72.6,72.0,52.9,92.9,26.0,7.9,13.1,42.9,40.3,46.3,17.2,57.3
2021,DE21,DE21M,61.9,93.6,17.3,9.4,47.3,81.9,74.3,65.7,82.9,73.1,,92.8,33.8,7.7,,40.2,51.7,44.2,,59.2
2022,DE21,DE21M,60.9,94.0,17.8,6.5,47.5,78.2,70.8,64.8,73.0,76.5,53.5,89.0,36.4,,14.3,41.6,42.2,42.2,,
2023,DE21,DE21M,49.6,94.7,,4.6,29.5,,72.9,68.0,71.2,74.7,51.0,88.0,26.8,7.6,11.9,39.1,28.6,43.0,14.1,
2024,DE21,DE21M,60.7,95.1,20.9,8.0,46.6,76.0,70.9,65.2,54.4,,54.4,,28.5,11.2,14.6,40.2,40.6,46.6,12.4,62.7
2025,DE21,DE21M,54.4,97.8,,11.1,45.4,76.2,73.3,66.6,73.3,72.6,56.3,91.1,38.9,,15.1,37.2,36.2,,9.6,62.8
2026,DE21,DE21M,60.3,94.1,21.8,8.7,45.3,74.2,72.2,66.2,64.3,75.7,52.9,,29.5,9.5,12.6,33.5,57.9,49.7,,66.1
2016,DE21,DE21N,55.4,63.5,12.5,15.3,25.6,31.7,80.6,,53.3,55.3,89.4,15.3,40.7,32.1,6.3,16.3,31.7,36.6,45.2,13.3
2017,DE21,DE21N,55.9,65.4,16.3,18.6,48.8,29.4,76.9,6.2,53.6,52.9,92.6,15.4,40.4,30.5,4.3,13.5,29.2,,48.9,9.5
2018,DE21,DE21N,54.8,65.2,18.8,18.0,24.1,26.9,78.7,,55.1,54.0,92.7,18.7,5.4,,5.4,,41.4,35.4,47.4,
2019,DE21,DE21N,53.7,66.3,21.7,16.5,59.4,30.2,,11.4,54.7,55.6,88.8,19.6,38.6,27.8,6.1,18.1,29.7,32.5,48.6,8.1
2020,DE21,DE21N,71.2,63.4,20.9,,48.0,27.9,76.1,7.9,54.7,58.1,85.1,20.8,37.3,27.4,4.3,19.9,29.3,30.6,50.1,7.3
2021,DE21,DE21N,52.3,63.3,20.7,14.4,48.9,26.2,73.4,6.1,54.2,58.9,83.2,20.5,40.3,29.7,8.3,17.2,29.4,32.2,52.1,3.9
2022,DE21,DE21N,82.5,,17.5,,60.3,28.9,,8.2,52.0,57.3,80.4,18.3,42.0,29.5,9.9,13.4,16.2,32.5,,0.0
2023,DE21,DE21N,54.0,64.5,13.7,11.3,46.9,25.3,75.4,9.3,52.3,57.8,78.2,20.9,41.4,27.3,6.4,9.5,17.4,34.8,,0.0
2024,DE21,DE21N,74.2,65.2,16.9,,45.8,21.4,77.7,6.2,51.6,56.5,76.5,21.7,57.0,23.8,,9.7,50.6,,50.6,
2025,DE21,DE21N,35.9,65.6,,6.2,49.0,25.1,75.7,2.3,39.2,54.0,,24.5,39.9,22.7,3.7,6.6,30.5,38.7,52.8,0.0
2026,DE21,DE21N,35.9,62.6,,9.2,48.6,23.1,73.9,3.3,51.3,53.0,77.1,23.8,42.1,26.7,2.4,2.7,30.4,38.2,52.3,0.7
2016,DE22,DE221,24.9,14.5,92.8,52.9,49.4,22.7,53.0,21.6,55.2,,35.9,74.6,39.7,8.3,73.1,62.2,38.9,42.1,14.8,59.8
2017,DE22,DE221,36.0,17.6,,54.5,47.6,19.4,,24.2,58.0,59.2,38.7,76.0,7.5,7.5,,,27.7,43.7,11.6,
2018,DE22,DE221,25.4,13.8,91.3,53.8,46.9,19.1,51.0,27.5,42.5,,42.5,,39.9,7.1,73.2,60.7,31.9,,9.5,54.2
2019,DE22,DE221,10.1,12.5,92.3,,46.0,17.1,48.9,30.1,57.8,,39.2,76.3,22.8,8.7,,63.2,31.9,,11.2,52.6
2020,DE22,DE221,29.1,,94.9,53.1,44.2,18.3,52.1,33.7,59.7,57.1,42.3,79.8,40.9,10.0,72.1,59.4,36.0,44.8,12.0,51.2
2021,DE22,DE221,24.7,12.9,95.4,56.6,46.6,,53.4,,51.0,55.7,46.2,,43.5,13.2,73.7,,35.4,43.1,10.7,52.5
2022,DE22,DE221,22.1,10.5,98.2,54.0,55.6,,55.2,33.5,50.2,57.7,42.6,,25.0,9.8,,59.9,29.4,,10.0,48.9
2023,DE22,DE221,20.8,7.1,100.0,55.3,40.9,14.5,54.8,37.0,60.9,57.5,40.7,84.5,44.8,13.3,78.4,57.4,34.4,43.1,9.4,50.8
2024,DE22,DE221,32.0,7.6,,56.5,40.0,14.7,58.7,36.0,60.9,59.9,41.2,81.7,43.3,10.3,80.8,61.1,32.9,41.1,8.9,48.7
